catalyst_key,dft_homo_ev,dft_lumo_ev,dft_bandgap_ev,dft_fermi_ev,dft_electronegativity_ev,dft_hardness_ev,dft_dipole_debye
cu_doped_tio2,-7.0487,-4.8816,2.1671,-5.9651,5.9651,1.0835,0.0
c_doped_tio2,-7.1403,-5.4538,1.6865,-6.2971,6.2971,0.8432,0.0
degussa_p25_tio2,-7.1368,-5.4002,1.7366,-6.2685,6.2685,0.8683,0.0
fe_cu_codoped_tio2,-6.6038,-4.9739,1.6299,-5.7888,5.7888,0.8149,0.0
fe_doped_tio2,-7.0654,-5.007,2.0584,-6.0362,6.0362,1.0292,0.0
n_c_codoped_tio2,-7.1422,-5.4797,1.6625,-6.311,6.311,0.8312,0.0
n_doped_tio2,-7.1383,-5.4281,1.7103,-6.2832,6.2832,0.8551,0.0
n_fe_codoped_tio2,-6.7918,-5.3953,1.3964,-6.0936,6.0936,0.6982,0.0
pure_anatase_tio2,-7.1368,-5.4002,1.7366,-6.2685,6.2685,0.8683,0.0
pure_rutile_tio2,-3.4231,-2.8174,0.6056,-3.1203,3.1203,0.3028,0.0
rutile_fe_doped_tio2,-3.2147,-2.797,0.4176,-3.0058,3.0058,0.2088,0.0
rutile_n_doped_tio2,-3.4537,-2.8201,0.6336,-3.1369,3.1369,0.3168,0.0
s_doped_tio2,-7.1406,-5.4556,1.685,-6.2981,6.2981,0.8425,0.0
