sample_id,catalyst_name,dye_name,bandgap_ev,surface_area_m2g,catalyst_dosage_gl,initial_dye_conc_mgl,ph,light_intensity_mwcm2,reaction_time_min,temperature_c,dye_molecular_weight,degradation_efficiency_percent
PCD-2018-0001,degussa_p25_tio2,methylene_blue,3.225,48.62,1.153,8.88,7.64,56.98,240,30.1,319.85,98.55
PCD-2019-0002,pure_anatase_tio2,rhodamine_b,3.238,47.33,0.101,21.18,7.04,39.31,180,22.9,479.02,87.63
PCD-2020-0003,pure_rutile_tio2,methyl_orange,2.965,10.0,1.33,20.68,4.15,36.39,45,25.6,327.33,71.05
PCD-2021-0004,n_doped_tio2,ciprofloxacin,2.746,44.73,0.113,31.19,5.5,30.54,60,24.9,331.34,55.7
PCD-2022-0005,c_doped_tio2,tetracycline,2.541,57.79,0.399,47.78,9.39,55.47,240,29.4,444.43,100.0
PCD-2023-0006,s_doped_tio2,bisphenol_a,2.608,60.64,1.589,20.26,7.53,91.04,240,20.0,228.29,97.36
PCD-2018-0007,fe_doped_tio2,phenol,2.393,81.34,1.396,13.23,8.22,75.77,15,29.7,94.11,100.0
PCD-2019-0008,cu_doped_tio2,24_dichlorophenol,2.359,91.62,1.618,22.41,5.21,47.2,180,20.0,163.0,96.41
PCD-2020-0009,rutile_n_doped_tio2,ibuprofen,2.641,38.56,1.846,9.62,6.85,74.32,30,29.0,206.28,97.46
PCD-2021-0010,rutile_fe_doped_tio2,malachite_green,2.358,28.49,0.28,10.34,6.88,74.03,90,29.5,364.91,100.0
PCD-2022-0011,n_fe_codoped_tio2,methylene_blue,2.173,95.05,1.227,11.92,6.0,72.89,60,26.6,319.85,98.76
PCD-2023-0012,n_c_codoped_tio2,rhodamine_b,2.23,91.56,0.204,27.51,8.45,43.61,15,23.0,479.02,57.42
PCD-2018-0013,fe_cu_codoped_tio2,methyl_orange,2.165,122.61,0.106,5.0,7.69,40.11,60,23.6,327.33,97.04
PCD-2019-0014,degussa_p25_tio2,ciprofloxacin,3.174,53.01,0.514,5.41,6.97,49.32,60,24.9,331.34,89.84
PCD-2020-0015,pure_anatase_tio2,tetracycline,3.176,35.07,0.13,20.6,11.93,45.19,30,26.5,444.43,18.07
PCD-2021-0016,pure_rutile_tio2,bisphenol_a,3.074,36.59,0.167,32.32,4.36,33.29,120,32.0,228.29,68.41
PCD-2022-0017,n_doped_tio2,phenol,2.679,86.9,0.176,15.07,8.85,92.67,45,29.4,94.11,98.66
PCD-2023-0018,c_doped_tio2,24_dichlorophenol,2.53,62.8,2.358,17.3,7.86,5.0,240,23.1,163.0,97.26
PCD-2018-0019,s_doped_tio2,ibuprofen,2.682,60.56,0.963,22.27,9.61,9.81,240,25.9,206.28,99.49
PCD-2019-0020,fe_doped_tio2,malachite_green,2.475,78.53,0.362,21.81,8.63,61.79,60,26.3,364.91,100.0
PCD-2020-0021,cu_doped_tio2,methylene_blue,2.316,87.32,0.241,22.26,8.69,54.37,120,20.0,319.85,100.0
PCD-2021-0022,rutile_n_doped_tio2,rhodamine_b,2.599,11.7,0.465,19.75,8.73,73.96,240,20.7,479.02,100.0
PCD-2022-0023,rutile_fe_doped_tio2,methyl_orange,2.332,22.28,0.324,19.23,7.68,56.92,30,29.1,327.33,91.67
PCD-2023-0024,n_fe_codoped_tio2,ciprofloxacin,2.133,118.5,0.309,23.94,12.0,49.22,240,20.0,331.34,100.0
PCD-2018-0025,n_c_codoped_tio2,tetracycline,2.289,102.14,0.112,18.76,8.48,38.69,90,28.9,444.43,96.69
PCD-2019-0026,fe_cu_codoped_tio2,bisphenol_a,2.109,96.82,0.502,17.32,4.7,84.74,180,30.3,228.29,100.0
PCD-2020-0027,degussa_p25_tio2,phenol,3.244,60.66,1.07,6.22,5.12,62.88,15,27.6,94.11,61.8
PCD-2021-0028,pure_anatase_tio2,24_dichlorophenol,3.24,39.44,1.842,18.72,7.14,39.76,240,22.6,163.0,100.0
PCD-2022-0029,pure_rutile_tio2,ibuprofen,3.116,10.0,0.37,15.85,7.16,27.67,15,23.3,206.28,17.67
PCD-2023-0030,n_doped_tio2,malachite_green,2.689,64.52,1.576,25.19,6.25,17.72,45,31.8,364.91,91.85
PCD-2018-0031,c_doped_tio2,methylene_blue,2.501,74.42,0.412,13.38,8.7,30.19,90,24.4,319.85,100.0
PCD-2019-0032,s_doped_tio2,rhodamine_b,2.666,39.51,0.179,16.57,7.54,100.0,240,35.6,479.02,100.0
PCD-2020-0033,fe_doped_tio2,methyl_orange,2.374,75.16,0.452,17.63,10.74,49.51,180,20.3,327.33,98.56
PCD-2021-0034,cu_doped_tio2,ciprofloxacin,2.245,80.8,2.483,21.39,6.35,63.12,30,25.3,331.34,100.0
PCD-2022-0035,rutile_n_doped_tio2,tetracycline,2.62,34.1,0.242,21.99,5.8,51.75,45,23.1,444.43,86.15
PCD-2023-0036,rutile_fe_doped_tio2,bisphenol_a,2.452,19.66,1.434,22.04,7.89,78.41,15,26.4,228.29,87.5
PCD-2018-0037,n_fe_codoped_tio2,phenol,2.19,105.07,1.591,13.78,6.29,73.8,90,32.3,94.11,99.73
PCD-2019-0038,n_c_codoped_tio2,24_dichlorophenol,2.275,95.51,0.541,24.95,10.74,92.2,45,20.0,163.0,96.22
PCD-2020-0039,fe_cu_codoped_tio2,ibuprofen,2.117,131.62,2.236,17.82,9.2,70.64,15,29.1,206.28,100.0
PCD-2021-0040,degussa_p25_tio2,malachite_green,3.087,25.43,0.383,19.23,7.78,46.89,180,25.5,364.91,100.0
PCD-2022-0041,pure_anatase_tio2,methylene_blue,3.189,65.92,0.378,32.05,4.61,69.27,15,28.3,319.85,42.76
PCD-2023-0042,pure_rutile_tio2,rhodamine_b,3.02,15.9,1.559,20.83,4.12,40.41,15,27.8,479.02,44.57
PCD-2018-0043,n_doped_tio2,methyl_orange,2.708,60.23,2.454,12.82,6.57,57.77,45,32.4,327.33,97.6
PCD-2019-0044,c_doped_tio2,ciprofloxacin,2.441,54.14,0.516,15.78,10.18,61.79,240,26.6,331.34,97.52
PCD-2020-0045,s_doped_tio2,tetracycline,2.726,70.33,2.72,5.54,5.31,41.42,120,27.3,444.43,94.31
PCD-2021-0046,fe_doped_tio2,bisphenol_a,2.48,78.32,1.051,22.85,5.6,25.82,15,31.0,228.29,71.66
PCD-2022-0047,cu_doped_tio2,phenol,2.344,94.76,0.874,11.6,5.8,5.0,30,22.4,94.11,52.69
PCD-2023-0048,rutile_n_doped_tio2,24_dichlorophenol,2.533,21.77,0.126,5.0,5.71,9.98,90,20.5,163.0,60.95
PCD-2018-0049,rutile_fe_doped_tio2,ibuprofen,2.334,48.31,2.259,19.26,6.44,57.39,180,20.0,206.28,100.0
PCD-2019-0050,n_fe_codoped_tio2,malachite_green,2.181,103.06,0.13,21.1,7.44,37.89,90,32.6,364.91,100.0
PCD-2020-0051,n_c_codoped_tio2,methylene_blue,2.284,79.01,0.211,21.2,8.03,67.79,240,20.0,319.85,100.0
